STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,FIPS
1,1,Alabama,Autauga County,55869,1001
1,3,Alabama,Baldwin County,223234,1003
1,5,Alabama,Barbour County,24686,1005
1,7,Alabama,Bibb County,22394,1007
1,9,Alabama,Blount County,57826,1009
1,11,Alabama,Bullock County,10101,1011
1,13,Alabama,Butler County,19448,1013
1,15,Alabama,Calhoun County,113605,1015
1,17,Alabama,Chambers County,33254,1017
1,19,Alabama,Cherokee County,26196,1019
1,21,Alabama,Chilton County,44428,1021
1,23,Alabama,Choctaw County,12589,1023
1,25,Alabama,Clarke County,23622,1025
1,27,Alabama,Clay County,13235,1027
1,29,Alabama,Cleburne County,14910,1029
1,31,Alabama,Coffee County,52342,1031
1,33,Alabama,Colbert County,55241,1033
1,35,Alabama,Conecuh County,12067,1035
1,37,Alabama,Coosa County,10663,1037
1,39,Alabama,Covington County,37049,1039
1,41,Alabama,Crenshaw County,13772,1041
1,43,Alabama,Cullman County,83768,1043
1,45,Alabama,Dale County,49172,1045
1,47,Alabama,Dallas County,37196,1047
1,49,Alabama,DeKalb County,71513,1049
1,51,Alabama,Elmore County,81209,1051
1,53,Alabama,Escambia County,36633,1053
1,55,Alabama,Etowah County,102268,1055
1,57,Alabama,Fayette County,16302,1057
1,59,Alabama,Franklin County,31362,1059
1,61,Alabama,Geneva County,26271,1061
1,63,Alabama,Greene County,8111,1063
1,65,Alabama,Hale County,14651,1065
1,67,Alabama,Henry County,17205,1067
1,69,Alabama,Houston County,105882,1069
1,71,Alabama,Jackson County,51626,1071
1,73,Alabama,Jefferson County,658573,1073
1,75,Alabama,Lamar County,13805,1075
1,77,Alabama,Lauderdale County,92729,1077
1,79,Alabama,Lawrence County,32924,1079
1,81,Alabama,Lee County,164542,1081
1,83,Alabama,Limestone County,98915,1083
1,85,Alabama,Lowndes County,9726,1085
1,87,Alabama,Macon County,18068,1087
1,89,Alabama,Madison County,372909,1089
1,91,Alabama,Marengo County,18863,1091
1,93,Alabama,Marion County,29709,1093
1,95,Alabama,Marshall County,96774,1095
1,97,Alabama,Mobile County,413210,1097
1,99,Alabama,Monroe County,20733,1099
1,101,Alabama,Montgomery County,226486,1101
1,103,Alabama,Morgan County,119679,1103
1,105,Alabama,Perry County,8923,1105
1,107,Alabama,Pickens County,19930,1107
1,109,Alabama,Pike County,33114,1109
1,111,Alabama,Randolph County,22722,1111
1,113,Alabama,Russell County,57961,1113
1,115,Alabama,St. Clair County,89512,1115
1,117,Alabama,Shelby County,217702,1117
1,119,Alabama,Sumter County,12427,1119
1,121,Alabama,Talladega County,79978,1121
1,123,Alabama,Tallapoosa County,40367,1123
1,125,Alabama,Tuscaloosa County,209355,1125
1,127,Alabama,Walker County,63521,1127
1,129,Alabama,Washington County,16326,1129
1,131,Alabama,Wilcox County,10373,1131
1,133,Alabama,Winston County,23629,1133
2,13,Alaska,Aleutians East Borough,3337,2013
2,16,Alaska,Aleutians West Census Area,5634,2016
2,20,Alaska,Anchorage Municipality,288000,2020
2,50,Alaska,Bethel Census Area,18386,2050
2,60,Alaska,Bristol Bay Borough,836,2060
2,68,Alaska,Denali Borough,2097,2068
2,70,Alaska,Dillingham Census Area,4916,2070
2,90,Alaska,Fairbanks North Star Borough,96849,2090
2,100,Alaska,Haines Borough,2530,2100
2,105,Alaska,Hoonah-Angoon Census Area,2148,2105
2,110,Alaska,Juneau City and Borough,31974,2110
2,122,Alaska,Kenai Peninsula Borough,58708,2122
2,130,Alaska,Ketchikan Gateway Borough,13901,2130
2,150,Alaska,Kodiak Island Borough,12998,2150
