date,covid symptoms,isPartial,State
2020-03-22,44,False,AL
2020-03-23,41,False,AL
2020-03-24,43,False,AL
2020-03-25,47,False,AL
2020-03-26,42,False,AL
2020-03-27,45,False,AL
2020-03-28,42,False,AL
2020-03-29,34,False,AL
2020-03-30,63,False,AL
2020-03-31,40,False,AL
2020-04-01,39,False,AL
2020-04-02,29,False,AL
2020-04-03,48,False,AL
2020-04-04,51,False,AL
2020-04-05,36,False,AL
2020-04-06,30,False,AL
2020-04-07,40,False,AL
2020-04-08,18,False,AL
2020-04-09,22,False,AL
2020-04-10,28,False,AL
2020-04-11,25,False,AL
2020-04-12,25,False,AL
2020-04-13,15,False,AL
2020-04-14,22,False,AL
2020-04-15,19,False,AL
2020-04-16,18,False,AL
2020-04-17,20,False,AL
2020-04-18,18,False,AL
2020-04-19,11,False,AL
2020-04-20,11,False,AL
2020-04-21,25,False,AL
2020-04-22,16,False,AL
2020-04-23,15,False,AL
2020-04-24,20,False,AL
2020-04-25,10,False,AL
2020-04-26,12,False,AL
2020-04-27,15,False,AL
2020-04-28,17,False,AL
2020-04-29,21,False,AL
2020-04-30,19,False,AL
2020-05-01,11,False,AL
2020-05-02,17,False,AL
2020-05-03,17,False,AL
2020-05-04,12,False,AL
2020-05-05,17,False,AL
2020-05-06,14,False,AL
2020-05-07,15,False,AL
2020-05-08,10,False,AL
2020-05-09,16,False,AL
2020-05-10,18,False,AL
2020-05-11,11,False,AL
2020-05-12,20,False,AL
2020-05-13,8,False,AL
2020-05-14,22,False,AL
2020-05-15,17,False,AL
2020-05-16,14,False,AL
2020-05-17,7,False,AL
2020-05-18,21,False,AL
2020-05-19,8,False,AL
2020-05-20,15,False,AL
2020-05-21,28,False,AL
2020-05-22,22,False,AL
2020-05-23,22,False,AL
2020-05-24,19,False,AL
2020-05-25,28,False,AL
2020-05-26,18,False,AL
2020-05-27,18,False,AL
2020-05-28,15,False,AL
2020-05-29,24,False,AL
2020-05-30,22,False,AL
2020-05-31,22,False,AL
2020-06-01,18,False,AL
2020-06-02,26,False,AL
2020-06-03,25,False,AL
2020-06-04,25,False,AL
2020-06-05,15,False,AL
2020-06-06,20,False,AL
2020-06-07,14,False,AL
2020-06-08,30,False,AL
2020-06-09,16,False,AL
2020-06-10,24,False,AL
2020-06-11,11,False,AL
2020-06-12,16,False,AL
2020-06-13,14,False,AL
2020-06-14,13,False,AL
2020-06-15,22,False,AL
2020-06-16,33,False,AL
2020-06-17,24,False,AL
2020-06-18,32,False,AL
2020-06-19,17,False,AL
2020-06-20,13,False,AL
2020-06-21,29,False,AL
2020-06-22,35,False,AL
2020-06-23,30,False,AL
2020-06-24,31,False,AL
2020-06-25,42,False,AL
2020-06-26,66,False,AL
2020-06-27,45,False,AL
2020-06-28,48,False,AL
2020-06-29,42,False,AL
2020-06-30,53,False,AL
