date,do i have covid,isPartial,State
2020-03-22,0,False,AL
2020-03-23,0,False,AL
2020-03-24,0,False,AL
2020-03-25,0,False,AL
2020-03-26,33,False,AL
2020-03-27,31,False,AL
2020-03-28,0,False,AL
2020-03-29,53,False,AL
2020-03-30,64,False,AL
2020-03-31,0,False,AL
2020-04-01,0,False,AL
2020-04-02,0,False,AL
2020-04-03,0,False,AL
2020-04-04,0,False,AL
2020-04-05,36,False,AL
2020-04-06,30,False,AL
2020-04-07,0,False,AL
2020-04-08,0,False,AL
2020-04-09,31,False,AL
2020-04-10,0,False,AL
2020-04-11,0,False,AL
2020-04-12,0,False,AL
2020-04-13,29,False,AL
2020-04-14,0,False,AL
2020-04-15,0,False,AL
2020-04-16,0,False,AL
2020-04-17,0,False,AL
2020-04-18,0,False,AL
2020-04-19,32,False,AL
2020-04-20,29,False,AL
2020-04-21,30,False,AL
2020-04-22,30,False,AL
2020-04-23,28,False,AL
2020-04-24,0,False,AL
2020-04-25,0,False,AL
2020-04-26,0,False,AL
2020-04-27,30,False,AL
2020-04-28,0,False,AL
2020-04-29,29,False,AL
2020-04-30,0,False,AL
2020-05-01,0,False,AL
2020-05-02,35,False,AL
2020-05-03,0,False,AL
2020-05-04,0,False,AL
2020-05-05,0,False,AL
2020-05-06,0,False,AL
2020-05-07,31,False,AL
2020-05-08,0,False,AL
2020-05-09,0,False,AL
2020-05-10,36,False,AL
2020-05-11,0,False,AL
2020-05-12,0,False,AL
2020-05-13,31,False,AL
2020-05-14,30,False,AL
2020-05-15,0,False,AL
2020-05-16,35,False,AL
2020-05-17,0,False,AL
2020-05-18,0,False,AL
2020-05-19,31,False,AL
2020-05-20,31,False,AL
2020-05-21,32,False,AL
2020-05-22,32,False,AL
2020-05-23,0,False,AL
2020-05-24,36,False,AL
2020-05-25,0,False,AL
2020-05-26,0,False,AL
2020-05-27,30,False,AL
2020-05-28,31,False,AL
2020-05-29,32,False,AL
2020-05-30,0,False,AL
2020-05-31,0,False,AL
2020-06-01,32,False,AL
2020-06-02,32,False,AL
2020-06-03,30,False,AL
2020-06-04,0,False,AL
2020-06-05,0,False,AL
2020-06-06,0,False,AL
2020-06-07,35,False,AL
2020-06-08,29,False,AL
2020-06-09,0,False,AL
2020-06-10,0,False,AL
2020-06-11,0,False,AL
2020-06-12,0,False,AL
2020-06-13,37,False,AL
2020-06-14,0,False,AL
2020-06-15,32,False,AL
2020-06-16,31,False,AL
2020-06-17,0,False,AL
2020-06-18,0,False,AL
2020-06-19,33,False,AL
2020-06-20,0,False,AL
2020-06-21,0,False,AL
2020-06-22,64,False,AL
2020-06-23,0,False,AL
2020-06-24,32,False,AL
2020-06-25,64,False,AL
2020-06-26,0,False,AL
2020-06-27,37,False,AL
2020-06-28,0,False,AL
2020-06-29,0,False,AL
2020-06-30,33,False,AL
2020-07-01,66,False,AL
2020-07-02,0,False,AL
2020-07-03,70,False,AL
2020-07-04,78,False,AL
2020-07-05,39,False,AL
2020-07-06,0,False,AL
2020-07-07,33,False,AL
2020-07-08,34,False,AL
2020-07-09,34,False,AL
2020-07-10,70,False,AL
2020-07-11,0,False,AL
2020-07-12,38,False,AL
2020-07-13,33,False,AL
2020-07-14,0,False,AL
2020-07-15,66,False,AL
2020-07-16,0,False,AL
2020-07-17,0,False,AL
2020-07-18,75,False,AL
2020-07-19,76,False,AL
2020-07-20,33,False,AL
2020-07-21,0,False,AL
2020-07-22,0,False,AL
2020-07-23,0,False,AL
2020-07-24,0,False,AL
2020-07-25,37,False,AL
2020-07-26,38,False,AL
2020-07-27,0,False,AL
2020-07-28,0,False,AL
2020-07-29,34,False,AL
2020-07-30,34,False,AL
2020-07-31,0,False,AL
2020-08-01,0,False,AL
2020-08-02,38,False,AL
2020-08-03,100,False,AL
2020-08-04,0,False,AL
2020-08-05,0,False,AL
2020-08-06,0,False,AL
2020-08-07,0,False,AL
2020-08-08,38,False,AL
2020-08-09,0,False,AL
2020-08-10,33,False,AL
2020-08-11,0,False,AL
2020-08-12,33,False,AL
2020-08-13,33,False,AL
2020-08-14,0,False,AL
2020-08-15,38,False,AL
2020-08-16,38,False,AL
2020-08-17,33,False,AL
2020-08-18,32,False,AL
2020-08-19,0,False,AL
2020-08-20,0,False,AL
2020-08-21,0,False,AL
2020-08-22,0,False,AL
2020-08-23,38,False,AL
2020-08-24,0,False,AL
2020-08-25,30,False,AL
2020-08-26,60,False,AL
2020-08-27,0,False,AL
2020-08-28,0,False,AL
2020-08-29,72,False,AL
2020-08-30,72,False,AL
2020-08-31,0,False,AL
2020-09-01,0,False,AL
2020-09-02,0,False,AL
2020-09-03,30,False,AL
2020-09-04,62,False,AL
2020-09-05,0,False,AL
2020-09-06,0,False,AL
2020-09-07,0,False,AL
2020-09-08,0,False,AL
2020-09-09,30,False,AL
2020-09-10,0,False,AL
2020-09-11,0,False,AL
2020-09-12,37,False,AL
2020-09-13,0,False,AL
2020-09-14,30,False,AL
2020-09-15,0,False,AL
2020-09-16,32,False,AL
2020-09-17,65,False,AL
2020-09-18,0,False,AL
2020-09-19,38,False,AL
2020-09-20,0,False,AL
2020-09-21,0,False,AL
2020-09-22,62,False,AL
2020-09-23,31,False,AL
2020-09-24,0,False,AL
2020-09-25,0,False,AL
2020-09-26,0,False,AL
2020-09-27,38,False,AL
2020-09-28,0,False,AL
2020-09-29,0,False,AL
2020-09-30,0,False,AL
2020-10-01,34,False,AL
2020-10-02,0,False,AL
2020-10-03,39,False,AL
2020-10-04,0,False,AL
2020-10-05,33,False,AL
2020-10-06,65,False,AL
2020-10-07,0,False,AL
2020-03-22,30,False,AZ
2020-03-23,26,False,AZ
2020-03-24,0,False,AZ
2020-03-25,54,False,AZ
2020-03-26,67,False,AZ
2020-03-27,38,False,AZ
2020-03-28,0,False,AZ
2020-03-29,0,False,AZ
2020-03-30,50,False,AZ
2020-03-31,63,False,AZ
2020-04-01,0,False,AZ
2020-04-02,51,False,AZ
2020-04-03,26,False,AZ
2020-04-04,29,False,AZ
2020-04-05,29,False,AZ
2020-04-06,51,False,AZ
2020-04-07,26,False,AZ
2020-04-08,25,False,AZ
2020-04-09,0,False,AZ
2020-04-10,0,False,AZ
2020-04-11,89,False,AZ
2020-04-12,30,False,AZ
2020-04-13,26,False,AZ
2020-04-14,0,False,AZ
2020-04-15,25,False,AZ
2020-04-16,25,False,AZ
2020-04-17,0,False,AZ
2020-04-18,0,False,AZ
2020-04-19,29,False,AZ
2020-04-20,0,False,AZ
2020-04-21,25,False,AZ
2020-04-22,26,False,AZ
2020-04-23,25,False,AZ
2020-04-24,26,False,AZ
2020-04-25,0,False,AZ
2020-04-26,0,False,AZ
2020-04-27,26,False,AZ
2020-04-28,0,False,AZ
2020-04-29,0,False,AZ
2020-04-30,25,False,AZ
2020-05-01,26,False,AZ
2020-05-02,29,False,AZ
2020-05-03,0,False,AZ
2020-05-04,0,False,AZ
2020-05-05,49,False,AZ
2020-05-06,51,False,AZ
2020-05-07,26,False,AZ
2020-05-08,26,False,AZ
2020-05-09,29,False,AZ
2020-05-10,30,False,AZ
2020-05-11,26,False,AZ
2020-05-12,0,False,AZ
2020-05-13,0,False,AZ
2020-05-14,26,False,AZ
2020-05-15,53,False,AZ
