,date,date,State,State,covid symptoms,do i have covid
0,2020-03-22,2020-03-22,AL,AL,44,0
1,2020-03-23,2020-03-23,AL,AL,41,0
2,2020-03-24,2020-03-24,AL,AL,43,0
3,2020-03-25,2020-03-25,AL,AL,47,0
4,2020-03-26,2020-03-26,AL,AL,42,33
5,2020-03-27,2020-03-27,AL,AL,45,31
6,2020-03-28,2020-03-28,AL,AL,42,0
7,2020-03-29,2020-03-29,AL,AL,34,53
8,2020-03-30,2020-03-30,AL,AL,63,64
9,2020-03-31,2020-03-31,AL,AL,40,0
10,2020-04-01,2020-04-01,AL,AL,39,0
11,2020-04-02,2020-04-02,AL,AL,29,0
12,2020-04-03,2020-04-03,AL,AL,48,0
13,2020-04-04,2020-04-04,AL,AL,51,0
14,2020-04-05,2020-04-05,AL,AL,36,36
15,2020-04-06,2020-04-06,AL,AL,30,30
16,2020-04-07,2020-04-07,AL,AL,40,0
17,2020-04-08,2020-04-08,AL,AL,18,0
18,2020-04-09,2020-04-09,AL,AL,22,31
19,2020-04-10,2020-04-10,AL,AL,28,0
20,2020-04-11,2020-04-11,AL,AL,25,0
21,2020-04-12,2020-04-12,AL,AL,25,0
22,2020-04-13,2020-04-13,AL,AL,15,29
23,2020-04-14,2020-04-14,AL,AL,22,0
24,2020-04-15,2020-04-15,AL,AL,19,0
25,2020-04-16,2020-04-16,AL,AL,18,0
26,2020-04-17,2020-04-17,AL,AL,20,0
27,2020-04-18,2020-04-18,AL,AL,18,0
28,2020-04-19,2020-04-19,AL,AL,11,32
29,2020-04-20,2020-04-20,AL,AL,11,29
30,2020-04-21,2020-04-21,AL,AL,25,30
31,2020-04-22,2020-04-22,AL,AL,16,30
32,2020-04-23,2020-04-23,AL,AL,15,28
33,2020-04-24,2020-04-24,AL,AL,20,0
34,2020-04-25,2020-04-25,AL,AL,10,0
35,2020-04-26,2020-04-26,AL,AL,12,0
36,2020-04-27,2020-04-27,AL,AL,15,30
37,2020-04-28,2020-04-28,AL,AL,17,0
38,2020-04-29,2020-04-29,AL,AL,21,29
39,2020-04-30,2020-04-30,AL,AL,19,0
40,2020-05-01,2020-05-01,AL,AL,11,0
41,2020-05-02,2020-05-02,AL,AL,17,35
42,2020-05-03,2020-05-03,AL,AL,17,0
43,2020-05-04,2020-05-04,AL,AL,12,0
44,2020-05-05,2020-05-05,AL,AL,17,0
45,2020-05-06,2020-05-06,AL,AL,14,0
46,2020-05-07,2020-05-07,AL,AL,15,31
47,2020-05-08,2020-05-08,AL,AL,10,0
48,2020-05-09,2020-05-09,AL,AL,16,0
49,2020-05-10,2020-05-10,AL,AL,18,36
50,2020-05-11,2020-05-11,AL,AL,11,0
51,2020-05-12,2020-05-12,AL,AL,20,0
52,2020-05-13,2020-05-13,AL,AL,8,31
53,2020-05-14,2020-05-14,AL,AL,22,30
54,2020-05-15,2020-05-15,AL,AL,17,0
55,2020-05-16,2020-05-16,AL,AL,14,35
56,2020-05-17,2020-05-17,AL,AL,7,0
57,2020-05-18,2020-05-18,AL,AL,21,0
58,2020-05-19,2020-05-19,AL,AL,8,31
